lru,self, 0.5,1,remove lru,remove self
order,decorator, 0.5,1,test map iterator order,abstract map iterator decorator
list ordered,predicated sorted, 0.5,1,test list ordered map,test predicated sorted map
add,update, 0.5,2,add node,update node,add entry,update entry
map compatibility,list serialization, 0.5,2,test full map compatibility,test full list serialization,test empty map compatibility,test empty list serialization
list,comparator, 0.666666666666667,2,list utils,comparator utils,abstract test list,abstract test comparator
current,unmodifiable, 0.5,1,current entry,unmodifiable entry
proxy,check, 0.5,1,proxy map,check map
add replacing,iterator wrapper, 0.5,1,test list add replacing,test list iterator wrapper
sub,verify, 0.5,1,sub map,verify map
factory,serialization, 0.5,1,test lazy map factory,test full map serialization
key,entry, 0.833333333333333,21,previous key,previous entry,test bidi remove by key set,test bidi remove by entry set,key set by value,entry set by value,test key set by value,test entry set by value,test fail fast key set,test fail fast entry set,test map key set,test map entry set,bulk test map key set,bulk test map entry set,bulk test map key set,test bidi map entry set,test key set remove changes map,test entry set clear changes map,test key set clear changes map,test entry set clear changes map,next key,next entry,reference key set iterator,reference entry set iterator,create key set iterator,create entry set iterator,key set iterator,entry set iterator,key iterator,entry iterator,key iterator,entry iterator,key iterator,entry iterator,key iterator,entry iterator,verify key set,verify entry set,reference key set,reference entry set,key set view,entry set view
sub,composite, 0.666666666666667,2,sub map,composite map,test sub map,test composite map
create,verify, 0.5,1,create map,verify map
by index,lrublocks remove, 0.5,1,test remove by index,test remove lrublocks remove
list ordered,transformed sorted, 0.5,1,test list ordered map,test transformed sorted map
constant,exception, 0.666666666666667,3,constant factory,exception factory,test constant transformer,test exception transformer,constant transformer,exception transformer
exception,reflection, 0.5,1,exception factory,reflection factory
head,unmodifiable, 0.666666666666667,4,head map,unmodifiable map,test head map,test unmodifiable map,bulk test head map,test unmodifiable map entry,bulk test head map,test unmodifiable map iterator
entry,mapping, 0.5,3,reuse entry,reuse mapping,remove entry,remove mapping,add entry,add mapping
full map,empty list, 0.5,4,test full map serialization,test empty list serialization,make full map iterator,make empty list iterator,test full map iterator,test empty list iterator,test full map compatibility,test empty list compatibility
sub,bidi, 0.5,2,bulk test sub map,abstract test bidi map,bulk test sub map,test bidi map iterator
add,singleton, 0.5,2,add iterator,singleton iterator,add iterator,singleton iterator
view,equals, 0.666666666666667,1,test list view,test list equals
init,list, 0.5,1,init iterator,list iterator
array,values, 0.5,1,array iterator,values iterator
sub,transform, 0.5,1,sub map,transform map
null,string, 0.5,1,null predicate,string predicate
init,unmodifiable, 0.5,1,init iterator,unmodifiable iterator
sub,typed, 0.75,5,bulk test sub map,bulk test typed map,sub map,typed map,sub list,typed list,sub list,typed list,test sub list,test typed list
clear,transformer, 0.666666666666667,1,test map clear,test map transformer
lru,impl, 0.5,1,remove lru,remove impl
flat,transform, 0.5,1,flat map,transform map
tree bidi,unmodifiable sorted, 0.5,1,test tree bidi map,test unmodifiable sorted map
fixed size,transformed sorted, 0.5,1,test fixed size map,test transformed sorted map
map,modify, 0.8,1,test bidi map entry set,test bidi modify entry set
sorted map,iterator iteration, 0.5,1,test unmodifiable sorted map,test unmodifiable iterator iteration
order,collate, 0.5,1,ordered iterator,collating iterator
